Age,Gender,Employment_Status,Work_Hours_Per_Week,Screen_Time_Hours,Sleep_Hours,Sleep_Quality,Physical_Activity_Hours,Meditation_Minutes,Coffee_Cups_Per_Day,Stress_Level,Chronic_Stress,Burnout_Risk,Occupation,Education_Level
58.0,Male,Employed,67,9.1,4.6,Poor,8.9,5.0,3,High,Yes,High,Marketing Manager,Diploma
24.0,Female,Student,44,12.0,4.7,Poor,0.8,18.0,3,Moderate,No,Moderate,Freelancer,Bachelor
59.0,Male,Employed,60,10.2,6.3,Average,6.9,30.0,3,Moderate,No,Moderate,Accountant,PhD
65.0,Other,Self-Employed,25,3.3,7.1,Good,7.6,55.0,6,Low,No,Low,Chef,Master
64.0,Other,Student,52,6.5,9.1,Excellent,6.1,9.0,8,Low,No,Low,Farmer,Diploma
48.0,Other,Unemployed,64,6.8,8.5,Good,2.0,19.0,8,Moderate,No,High,Marketing Manager,PhD
33.0,Female,Employed,70,4.3,6.8,Average,4.7,26.0,6,Moderate,No,Moderate,Police Officer,Diploma
22.0,Female,Student,51,6.8,5.0,Average,4.8,55.0,6,Moderate,No,Moderate,Nurse,High School
50.0,Other,Student,63,3.4,7.6,Good,8.6,25.0,0,Low,No,Low,Teacher,PhD
24.0,Male,Self-Employed,35,7.3,9.3,Excellent,3.7,10.0,8,Low,No,Low,Designer,PhD
21.0,Male,Student,60,10.9,8.6,Good,9.8,10.0,0,Moderate,No,Moderate,Student,Bachelor
40.0,Other,Employed,21,6.0,9.3,Excellent,1.8,59.0,3,Low,No,Low,Freelancer,Diploma
22.0,Female,Self-Employed,36,2.5,9.3,Excellent,1.8,16.0,5,Low,No,Low,Farmer,Master
25.0,Other,Unemployed,55,8.0,8.2,Good,1.3,26.0,2,Moderate,No,Moderate,Farmer,Bachelor
57.0,Female,Employed,35,12.2,4.1,Poor,9.8,39.0,3,Low,No,Low,Sales Executive,Bachelor
47.0,Other,Self-Employed,52,8.6,7.0,Good,4.3,58.0,7,Moderate,No,High,Pilot,PhD
23.0,Male,Employed,41,2.7,6.5,Average,5.4,26.0,0,Low,No,Low,Sales Executive,Master
39.0,Other,Unemployed,45,2.3,7.2,Good,5.9,42.0,7,Low,No,Low,Civil Engineer,Diploma
32.0,Other,Employed,35,3.4,7.7,Good,1.3,42.0,4,Low,No,Low,Teacher,High School
62.0,Female,Student,43,6.1,6.6,Average,0.7,41.0,1,Low,No,Low,Freelancer,High School
33.0,Female,Self-Employed,31,11.6,9.1,Excellent,4.9,22.0,4,Low,No,Low,Freelancer,Master
37.0,Other,Self-Employed,42,5.7,7.3,Good,7.0,17.0,5,Low,No,Low,Researcher,Master
52.0,Male,Self-Employed,68,2.1,7.8,Good,4.9,55.0,5,Moderate,No,Moderate,Teacher,High School
44.0,Other,Unemployed,57,8.8,5.8,Average,9.9,19.0,1,Low,No,Low,Freelancer,Diploma
62.0,Female,Employed,61,11.9,7.3,Good,1.5,17.0,4,High,Yes,High,Sales Executive,Bachelor
23.0,Male,Student,68,8.2,7.5,Good,7.6,30.0,6,Moderate,No,High,Chef,PhD
38.0,Female,Student,23,9.5,6.8,Average,1.9,23.0,0,Low,No,Low,Nurse,Master
47.0,Male,Self-Employed,50,7.5,5.6,Average,9.8,30.0,8,Moderate,No,High,Lawyer,Master
53.0,Other,Employed,34,2.5,7.4,Good,8.6,26.0,6,Low,No,Low,Business Owner,Bachelor
48.0,Female,Student,44,10.6,9.2,Excellent,9.5,40.0,0,Low,No,Low,Freelancer,Master
41.0,Female,Unemployed,30,12.5,8.8,Good,1.8,39.0,2,Low,No,Moderate,Sales Executive,PhD
62.0,Female,Unemployed,56,13.9,5.4,Average,3.6,18.0,6,High,Yes,High,HR Specialist,Diploma
20.0,Other,Self-Employed,32,12.5,6.5,Average,1.3,34.0,4,Moderate,No,Moderate,Lawyer,High School
25.0,Female,Unemployed,34,12.6,4.7,Poor,4.7,39.0,3,Moderate,No,Low,Marketing Manager,PhD
62.0,Other,Unemployed,59,5.4,9.0,Excellent,4.1,60.0,7,Moderate,No,Low,Chef,Diploma
19.0,Male,Employed,33,5.9,5.2,Average,8.1,14.0,0,Low,No,Low,Sales Executive,Diploma
26.0,Other,Student,52,8.0,8.7,Good,5.9,28.0,8,Moderate,No,Moderate,Farmer,High School
35.0,Other,Self-Employed,49,3.2,7.2,Good,5.1,27.0,8,Moderate,No,Low,Chef,PhD
23.0,Male,Employed,55,3.5,7.5,Good,5.6,42.0,6,Moderate,No,Low,Nurse,Bachelor
