Age,Gender,Employment_Status,Work_Hours_Per_Week,Screen_Time_Hours,Sleep_Hours,Sleep_Quality,Physical_Activity_Hours,Meditation_Minutes,Coffee_Cups_Per_Day,Stress_Level,Chronic_Stress,Burnout_Risk,Burnout_Score,Productivity_Score,Mental_Health_Status
58.0,Male,Employed,67,9.1,4.6,Poor,8.9,5.0,3,High,Yes,High,82,19.0,Critical
24.0,Female,Student,44,12.0,4.7,Poor,0.8,18.0,3,Moderate,No,Moderate,64,27.0,Critical
59.0,Male,Employed,60,10.2,6.3,Average,6.9,,3,Moderate,No,Moderate,50,51.0,Needs Attention
65.0,Other,Self-Employed,25,3.3,7.1,Good,7.6,55.0,6,Low,No,Low,16,83.0,Healthy
64.0,Other,Student,52,6.5,9.1,Excellent,6.1,9.0,8,Low,No,Low,26,61.0,Healthy
48.0,Other,Unemployed,64,6.8,8.5,Good,2.0,19.0,8,Moderate,No,High,68,21.0,Critical
33.0,Female,Employed,70,4.3,6.8,Average,4.7,26.0,6,Moderate,No,Moderate,41,51.0,Needs Attention
22.0,Female,Student,51,6.8,5.0,Average,4.8,55.0,6,Moderate,No,Moderate,49,43.0,Needs Attention
50.0,Other,Student,63,3.4,7.6,Good,8.6,25.0,0,Low,No,Low,16,80.0,Healthy
24.0,Male,Self-Employed,35,7.3,9.3,Excellent,3.7,10.0,8,Low,No,Low,16,71.0,Healthy
21.0,Male,Student,60,10.9,8.6,Good,9.8,10.0,0,Moderate,No,Moderate,57,38.0,Needs Attention
40.0,Other,Employed,21,6.0,9.3,Excellent,1.8,59.0,3,Low,No,Low,0,100.0,Healthy
22.0,Female,Self-Employed,36,2.5,9.3,Excellent,1.8,16.0,5,Low,No,Low,16,66.0,Healthy
25.0,Other,Unemployed,55,,8.2,Good,1.3,26.0,2,Moderate,No,Moderate,51,54.0,Needs Attention
57.0,Female,Employed,35,12.2,4.1,Poor,9.8,39.0,3,Low,No,Low,38,64.0,Healthy
47.0,Other,Self-Employed,52,8.6,,Good,4.3,58.0,7,Moderate,No,High,66,45.0,Critical
23.0,Male,Employed,41,2.7,6.5,Average,5.4,26.0,0,Low,No,Low,15,95.0,Healthy
39.0,Other,Unemployed,45,2.3,7.2,Good,5.9,42.0,7,Low,No,Low,20,83.0,Healthy
32.0,Other,Employed,35,3.4,7.7,Good,1.3,42.0,4,Low,No,Low,16,100.0,Healthy
62.0,Female,Student,43,6.1,6.6,Average,0.7,41.0,1,Low,No,Low,19,81.0,Healthy
33.0,Female,Self-Employed,31,11.6,9.1,Excellent,4.9,22.0,4,Low,No,Low,32,84.0,Healthy
37.0,Other,Self-Employed,42,5.7,7.3,Good,7.0,17.0,5,Low,No,Low,31,72.0,Healthy
52.0,Male,Self-Employed,68,2.1,7.8,Good,4.9,55.0,5,Moderate,No,Moderate,48,40.0,Needs Attention
44.0,Other,Unemployed,57,8.8,5.8,Average,9.9,19.0,1,Low,No,Low,18,62.0,Healthy
62.0,Female,Employed,61,11.9,7.3,Good,1.5,17.0,4,High,Yes,High,92,21.0,Critical
23.0,Male,Student,68,8.2,7.5,Good,7.6,30.0,6,Moderate,No,High,79,23.0,Critical
38.0,Female,Student,23,9.5,6.8,Average,1.9,23.0,0,Low,No,Low,1,89.0,Healthy
47.0,Male,Self-Employed,50,7.5,5.6,Average,9.8,,8,Moderate,No,High,77,47.0,Critical
53.0,Other,Employed,34,2.5,7.4,Good,8.6,26.0,6,Low,No,Low,12,100.0,Healthy
48.0,Female,Student,44,10.6,9.2,Excellent,9.5,40.0,0,Low,No,Low,16,88.0,Healthy
41.0,Female,Unemployed,30,12.5,8.8,Good,1.8,39.0,2,Low,No,Moderate,47,55.0,Needs Attention
62.0,Female,Unemployed,56,13.9,5.4,Average,3.6,18.0,6,High,Yes,High,100,0.0,Critical
20.0,Other,Self-Employed,32,12.5,6.5,Average,1.3,34.0,4,Moderate,No,Moderate,47,47.0,Needs Attention
25.0,Female,Unemployed,34,12.6,4.7,Poor,4.7,39.0,3,Moderate,No,Low,38,43.0,Healthy
62.0,Other,Unemployed,59,5.4,9.0,Excellent,4.1,60.0,7,Moderate,No,Low,31,78.0,Healthy
19.0,Male,Employed,33,5.9,5.2,Average,8.1,14.0,0,Low,No,Low,35,62.0,Healthy
26.0,Other,Student,52,8.0,8.7,Good,5.9,28.0,8,Moderate,No,Moderate,44,61.0,Needs Attention
35.0,Other,Self-Employed,49,3.2,7.2,Good,5.1,27.0,8,Moderate,No,Low,33,73.0,Healthy
23.0,Male,Employed,55,3.5,7.5,Good,5.6,42.0,6,Moderate,No,Low,25,76.0,Healthy
45.0,Other,Student,37,10.4,9.0,Excellent,0.3,17.0,0,Low,No,Low,2,95.0,Healthy
38.0,Other,Employed,25,7.1,4.3,Poor,2.7,42.0,3,Low,No,Low,8,99.0,Healthy
26.0,Female,Student,28,4.8,6.6,Average,3.8,45.0,5,Low,No,Low,17,64.0,Healthy
28.0,Other,Unemployed,45,12.4,6.6,Average,5.2,25.0,2,Moderate,No,Moderate,45,53.0,Needs Attention
58.0,Female,Unemployed,59,5.8,7.9,Good,3.2,40.0,4,Moderate,No,Moderate,40,54.0,Needs Attention
65.0,Male,Self-Employed,23,12.8,7.0,Good,4.5,51.0,8,Moderate,No,Low,36,58.0,Healthy
53.0,Other,Employed,29,13.6,7.5,Good,9.2,19.0,1,Low,No,Low,18,92.0,Healthy
49.0,Male,Student,54,8.3,7.0,Good,8.4,56.0,2,Low,No,Low,31,89.0,Healthy
46.0,Male,Unemployed,56,11.2,8.1,Good,9.8,29.0,6,Moderate,No,Moderate,51,58.0,Needs Attention
27.0,Female,Self-Employed,52,13.9,4.3,Poor,3.7,24.0,1,Moderate,No,High,65,45.0,Critical
56.0,Other,Employed,46,7.5,4.3,Poor,6.4,39.0,8,Moderate,No,Moderate,43,62.0,Needs Attention
50.0,Other,Student,36,11.5,9.9,Excellent,7.5,22.0,1,Low,No,Low,30,90.0,Healthy
30.0,Male,Unemployed,68,6.3,5.5,Average,6.5,18.0,5,High,Yes,High,76,16.0,Critical
29.0,Other,Student,48,4.0,5.8,Average,6.0,27.0,5,Low,No,Low,26,77.0,Healthy
41.0,Female,Employed,43,8.9,9.7,Excellent,4.4,4.0,4,Low,No,Low,25,64.0,Healthy
46.0,Male,Self-Employed,55,5.6,8.3,Good,5.4,57.0,2,Low,No,Low,5,91.0,Healthy
64.0,Female,Student,48,6.1,7.9,Good,4.7,33.0,2,Low,No,Low,2,95.0,Healthy
35.0,Male,Student,57,9.5,5.0,Average,1.5,42.0,0,High,Yes,High,77,22.0,Critical
62.0,Male,Unemployed,29,5.8,6.0,Average,3.1,45.0,6,Low,No,Low,18,75.0,Healthy
28.0,Female,Employed,39,13.3,6.8,Average,5.0,5.0,3,Moderate,No,Moderate,49,58.0,Needs Attention
43.0,Male,Self-Employed,52,5.4,4.4,Poor,4.5,35.0,1,Moderate,No,Low,33,58.0,Healthy
51.0,Female,Employed,45,12.1,5.9,Average,9.9,47.0,8,Low,No,Low,34,65.0,Healthy
58.0,Other,Employed,27,5.8,9.7,Excellent,1.9,28.0,6,Low,No,Low,26,82.0,Healthy
33.0,Female,Self-Employed,65,6.2,5.2,Average,4.9,30.0,4,High,Yes,Moderate,59,19.0,Critical
35.0,Other,Student,35,8.4,7.5,Good,0.5,57.0,6,Low,No,Low,17,80.0,Healthy
32.0,Other,Unemployed,45,13.2,10.0,Excellent,7.9,11.0,0,Low,No,Low,33,71.0,Healthy
59.0,Female,Self-Employed,32,9.7,8.0,Good,1.8,54.0,5,Low,No,Low,0,92.0,Healthy
18.0,Female,Student,30,13.1,6.8,Average,4.1,32.0,1,Low,No,Low,30,62.0,Healthy
