Age,Gender,Employment_Status,Work_Hours_Per_Week,Screen_Time_Hours,Sleep_Hours,Sleep_Quality,Physical_Activity_Hours,Meditation_Minutes,Coffee_Cups_Per_Day,Stress_Level,Burnout_Risk,Occupation,Education_Level,Chronic_OHE_No,Chronic_OHE_Yes
58.0,1,0,67,9.1,4.6,0,8.9,5.0,3,2,2,11,1,0,1
24.0,0,2,44,12.0,4.7,0,0.8,18.0,3,1,1,8,0,1,0
59.0,1,0,60,10.2,6.3,1,6.9,30.0,3,1,1,0,4,1,0
65.0,2,1,25,3.3,7.1,2,7.6,55.0,6,0,0,2,3,1,0
64.0,2,2,52,6.5,9.1,3,6.1,9.0,8,0,0,7,1,1,0
48.0,2,3,64,6.8,8.5,2,2.0,19.0,8,1,2,11,4,1,0
33.0,0,0,70,4.3,6.8,1,4.7,26.0,6,1,1,14,1,1,0
22.0,0,2,51,6.8,5.0,1,4.8,55.0,6,1,1,12,2,1,0
50.0,2,2,63,3.4,7.6,2,8.6,25.0,0,0,0,19,4,1,0
24.0,1,1,35,7.3,9.3,3,3.7,10.0,8,0,0,5,4,1,0
21.0,1,2,60,10.9,8.6,2,9.8,10.0,0,1,1,18,0,1,0
40.0,2,0,21,6.0,9.3,3,1.8,59.0,3,0,0,8,1,1,0
22.0,0,1,36,2.5,9.3,3,1.8,16.0,5,0,0,7,3,1,0
25.0,2,3,55,8.0,8.2,2,1.3,26.0,2,1,1,7,0,1,0
57.0,0,0,35,12.2,4.1,0,9.8,39.0,3,0,0,16,0,1,0
47.0,2,1,52,8.6,7.0,2,4.3,58.0,7,1,2,13,4,1,0
23.0,1,0,41,2.7,6.5,1,5.4,26.0,0,0,0,16,3,1,0
39.0,2,3,45,2.3,7.2,2,5.9,42.0,7,0,0,3,1,1,0
32.0,2,0,35,3.4,7.7,2,1.3,42.0,4,0,0,19,2,1,0
62.0,0,2,43,6.1,6.6,1,0.7,41.0,1,0,0,8,2,1,0
33.0,0,1,31,11.6,9.1,3,4.9,22.0,4,0,0,8,3,1,0
37.0,2,1,42,5.7,7.3,2,7.0,17.0,5,0,0,15,3,1,0
52.0,1,1,68,2.1,7.8,2,4.9,55.0,5,1,1,19,2,1,0
44.0,2,3,57,8.8,5.8,1,9.9,19.0,1,0,0,8,1,1,0
62.0,0,0,61,11.9,7.3,2,1.5,17.0,4,2,2,16,0,0,1
23.0,1,2,68,8.2,7.5,2,7.6,30.0,6,1,2,2,4,1,0
38.0,0,2,23,9.5,6.8,1,1.9,23.0,0,0,0,12,3,1,0
47.0,1,1,50,7.5,5.6,1,9.8,30.0,8,1,2,10,3,1,0
53.0,2,0,34,2.5,7.4,2,8.6,26.0,6,0,0,1,0,1,0
48.0,0,2,44,10.6,9.2,3,9.5,40.0,0,0,0,8,3,1,0
41.0,0,3,30,12.5,8.8,2,1.8,39.0,2,0,1,16,4,1,0
62.0,0,3,56,13.9,5.4,1,3.6,18.0,6,2,2,9,1,0,1
20.0,2,1,32,12.5,6.5,1,1.3,34.0,4,1,1,10,2,1,0
25.0,0,3,34,12.6,4.7,0,4.7,39.0,3,1,0,11,4,1,0
62.0,2,3,59,5.4,9.0,3,4.1,60.0,7,1,0,2,1,1,0
19.0,1,0,33,5.9,5.2,1,8.1,14.0,0,0,0,16,1,1,0
26.0,2,2,52,8.0,8.7,2,5.9,28.0,8,1,1,7,2,1,0
35.0,2,1,49,3.2,7.2,2,5.1,27.0,8,1,0,2,4,1,0
23.0,1,0,55,3.5,7.5,2,5.6,42.0,6,1,0,12,0,1,0
45.0,2,2,37,10.4,9.0,3,0.3,17.0,0,0,0,8,4,1,0
38.0,2,0,25,7.1,4.3,0,2.7,42.0,3,0,0,6,2,1,0
26.0,0,2,28,4.8,6.6,1,3.8,45.0,5,0,0,4,2,1,0
28.0,2,3,45,12.4,6.6,1,5.2,25.0,2,1,1,15,2,1,0
58.0,0,3,59,5.8,7.9,2,3.2,40.0,4,1,1,2,4,1,0
65.0,1,1,23,12.8,7.0,2,4.5,51.0,8,1,0,2,1,1,0
53.0,2,0,29,13.6,7.5,2,9.2,19.0,1,0,0,9,0,1,0
49.0,1,2,54,8.3,7.0,2,8.4,56.0,2,0,0,10,1,1,0
46.0,1,3,56,11.2,8.1,2,9.8,29.0,6,1,1,16,0,1,0
27.0,0,1,52,13.9,4.3,0,3.7,24.0,1,1,2,16,3,1,0
56.0,2,0,46,7.5,4.3,0,6.4,39.0,8,1,1,12,0,1,0
50.0,2,2,36,11.5,9.9,3,7.5,22.0,1,0,0,3,3,1,0
30.0,1,3,68,6.3,5.5,1,6.5,18.0,5,2,2,9,4,0,1
29.0,2,2,48,4.0,5.8,1,6.0,27.0,5,0,0,4,2,1,0
41.0,0,0,43,8.9,9.7,3,4.4,4.0,4,0,0,2,2,1,0
46.0,1,1,55,5.6,8.3,2,5.4,57.0,2,0,0,1,2,1,0
64.0,0,2,48,6.1,7.9,2,4.7,33.0,2,0,0,18,3,1,0
35.0,1,2,57,9.5,5.0,1,1.5,42.0,0,2,2,9,4,0,1
62.0,1,3,29,5.8,6.0,1,3.1,45.0,6,0,0,1,3,1,0
28.0,0,0,39,13.3,6.8,1,5.0,5.0,3,1,1,4,1,1,0
43.0,1,1,52,5.4,4.4,0,4.5,35.0,1,1,0,13,1,1,0
51.0,0,0,45,12.1,5.9,1,9.9,47.0,8,0,0,8,4,1,0
58.0,2,0,27,5.8,9.7,3,1.9,28.0,6,0,0,3,1,1,0
33.0,0,1,65,6.2,5.2,1,4.9,30.0,4,2,1,9,1,0,1
35.0,2,2,35,8.4,7.5,2,0.5,57.0,6,0,0,11,1,1,0
32.0,2,3,45,13.2,10.0,3,7.9,11.0,0,0,0,19,1,1,0
59.0,0,1,32,9.7,8.0,2,1.8,54.0,5,0,0,0,2,1,0
18.0,0,2,30,13.1,6.8,1,4.1,32.0,1,0,0,15,1,1,0
51.0,2,2,32,4.0,9.4,3,5.7,9.0,3,0,0,6,4,1,0
55.0,1,2,24,2.4,9.6,3,9.9,30.0,6,0,0,18,0,1,0
61.0,2,3,29,12.5,6.8,1,2.8,59.0,6,0,0,18,4,1,0
21.0,1,1,40,3.7,8.6,2,2.4,56.0,4,0,0,9,1,1,0
52.0,0,0,46,6.7,7.4,2,5.6,8.0,1,1,1,16,0,1,0
37.0,1,3,33,8.6,7.6,2,4.0,15.0,8,1,0,5,2,1,0
65.0,1,3,34,4.9,5.2,1,3.8,53.0,5,0,0,11,4,1,0
58.0,1,0,59,9.4,6.2,1,5.0,59.0,0,1,0,10,2,1,0
34.0,0,1,64,11.9,7.4,2,2.3,43.0,0,1,2,3,2,1,0
62.0,2,2,56,13.1,9.4,3,6.6,11.0,2,1,1,11,2,1,0
22.0,0,3,70,4.7,7.8,2,9.9,31.0,2,1,0,8,4,1,0
46.0,0,0,55,3.2,6.6,1,5.5,26.0,5,1,1,11,2,1,0
22.0,1,1,35,9.1,6.2,1,7.2,31.0,4,1,1,11,3,1,0
38.0,0,0,70,13.2,5.7,1,3.9,7.0,2,2,2,14,4,0,1
56.0,0,3,43,8.4,8.7,2,7.0,51.0,3,0,1,3,4,1,0
53.0,2,3,63,3.8,6.8,1,5.9,32.0,4,1,1,2,1,1,0
37.0,1,1,30,4.9,8.1,2,9.3,47.0,8,0,0,12,2,1,0
63.0,1,0,27,7.9,5.2,1,2.6,55.0,6,0,1,12,4,1,0
41.0,2,3,47,8.4,7.4,2,1.9,40.0,2,0,0,7,3,1,0
44.0,2,3,70,2.4,7.4,2,7.6,18.0,7,1,2,18,3,1,0
40.0,1,0,65,4.0,6.1,1,6.1,27.0,3,1,1,12,1,1,0
26.0,1,3,37,7.4,7.5,2,6.3,24.0,1,0,0,4,1,1,0
